Date,Symbol,SecurityName,ClientName,Buy/Sell,QuantityTraded,TradePrice/Wght.Avg.Price,Remarks
14-JUL-2026,LANDMARK,Landmark Cars Limited,SILVERLEAF CAPITAL SERVICES PRIVATE LIMITED,BUY,"2,87,523",476.75,-
14-JUL-2026,LANDMARK,Landmark Cars Limited,SILVERLEAF CAPITAL SERVICES PRIVATE LIMITED,SELL,"2,87,523",476.32,-
14-JUL-2026,MOBIKWIK,One Mobikwik Systems Ltd,HRTI PRIVATE LIMITED,BUY,"2,91,834",229.70,-
14-JUL-2026,MOBIKWIK,One Mobikwik Systems Ltd,HRTI PRIVATE LIMITED,SELL,"4,24,842",228.48,-
14-JUL-2026,MPEL,Manas Polymer N Energie L,AMIT CHAUDHARY,BUY,"48,000",40.05,-
14-JUL-2026,MPEL,Manas Polymer N Energie L,AMIT CHAUDHARY,SELL,"49,600",40.00,-
14-JUL-2026,MPEL,Manas Polymer N Energie L,ARUN GAHLOT,SELL,"48,000",40.05,-
14-JUL-2026,MUNISH,Munish Forge Limited,CAPACIOUS WEALTH MANAGEMENT LLP,SELL,"1,89,600",69.05,-
14-JUL-2026,MUNISH,Munish Forge Limited,NEHA MADHOK,BUY,"1,45,200",69.00,-
14-JUL-2026,MUNISH,Munish Forge Limited,VIPIN DAGA,SELL,"1,57,200",69.00,-
14-JUL-2026,ORIENTTECH,Orient Technologies Ltd,ALPHAGREP SECURITIES PRIVATE LIMITED,SELL,"5,23,283",289.15,-
14-JUL-2026,ORIENTTECH,Orient Technologies Ltd,ALPHAGREP SECURITIES PRIVATE LIMITED,BUY,"5,23,283",288.99,-
14-JUL-2026,ORIENTTECH,Orient Technologies Ltd,HRTI PRIVATE LIMITED,SELL,"3,37,140",288.56,-
14-JUL-2026,ORIENTTECH,Orient Technologies Ltd,HRTI PRIVATE LIMITED,BUY,"3,46,405",287.74,-
14-JUL-2026,ORIENTTECH,Orient Technologies Ltd,JUMP TRADING FINANCIAL INDIA PRIVATE LIMITED,BUY,"2,92,470",288.17,-
14-JUL-2026,ORIENTTECH,Orient Technologies Ltd,JUMP TRADING FINANCIAL INDIA PRIVATE LIMITED,SELL,"2,92,470",288.29,-
14-JUL-2026,ORIENTTECH,Orient Technologies Ltd,JUNOMONETA FINSOL PRIVATE LIMITED,SELL,"4,36,540",288.91,-
14-JUL-2026,ORIENTTECH,Orient Technologies Ltd,JUNOMONETA FINSOL PRIVATE LIMITED,BUY,"4,40,486",288.70,-
14-JUL-2026,ORIENTTECH,Orient Technologies Ltd,MICROCURVES TRADING PRIVATE LIMITED,SELL,"5,66,551",290.13,-
14-JUL-2026,ORIENTTECH,Orient Technologies Ltd,MICROCURVES TRADING PRIVATE LIMITED,BUY,"5,66,551",289.94,-
14-JUL-2026,ORIENTTECH,Orient Technologies Ltd,MUSIGMA SECURITIES,SELL,"2,48,257",290.76,-
14-JUL-2026,ORIENTTECH,Orient Technologies Ltd,MUSIGMA SECURITIES,BUY,"2,48,257",290.70,-
14-JUL-2026,ORIENTTECH,Orient Technologies Ltd,NK SECURITIES RESEARCH PRIVATE LIMITED,BUY,"5,86,416",288.68,-
14-JUL-2026,ORIENTTECH,Orient Technologies Ltd,NK SECURITIES RESEARCH PRIVATE LIMITED,SELL,"5,86,416",288.81,-
14-JUL-2026,ORIENTTECH,Orient Technologies Ltd,PUMA SECURITIES,SELL,"2,31,876",288.92,-
14-JUL-2026,ORIENTTECH,Orient Technologies Ltd,PUMA SECURITIES,BUY,"2,31,876",288.95,-
14-JUL-2026,ORIENTTECH,Orient Technologies Ltd,QE SECURITIES LLP,BUY,"3,46,141",288.81,-
14-JUL-2026,ORIENTTECH,Orient Technologies Ltd,QE SECURITIES LLP,SELL,"3,52,986",289.52,-
14-JUL-2026,ORIENTTECH,Orient Technologies Ltd,VINSUL MAKARDI LTD,SELL,"2,64,623",288.55,-
14-JUL-2026,ORIENTTECH,Orient Technologies Ltd,VINSUL MAKARDI LTD,BUY,"2,64,623",288.08,-
14-JUL-2026,PPSL,Picturepost Studios Ltd,SHAILENDRA ISHWARDAS CHANDGOTIA,SELL,"7,29,000",2.39,-
14-JUL-2026,PRANIK,Pranik Logistics Limited,ALLINA  QURESHI,SELL,"96,000",43.00,-
14-JUL-2026,PRANIK,Pranik Logistics Limited,BIMA PAY TECHNOLOGY PRIVATE LIMITED,BUY,"96,000",43.00,-
14-JUL-2026,RADIOWALLA,Radiowalla Network Ltd,AMRITAANSHU AGRAWAL,BUY,"1,47,200",24.54,-
14-JUL-2026,RADIOWALLA,Radiowalla Network Ltd,BENGAL FINANCE & INVESTMENT PRIVATE LIMITED,SELL,"1,44,000",24.50,-
14-JUL-2026,RAMCOSYS,Ramco Systems Limited,HRTI PRIVATE LIMITED,SELL,"1,55,583",858.09,-
14-JUL-2026,RAMCOSYS,Ramco Systems Limited,HRTI PRIVATE LIMITED,BUY,"1,88,764",849.61,-
14-JUL-2026,SATKARTAR,Sat Kartar Life Limited,ALLINA  QURESHI,SELL,"1,60,000",132.50,-
14-JUL-2026,SATKARTAR,Sat Kartar Life Limited,BIMA PAY TECHNOLOGY PRIVATE LIMITED,BUY,"1,60,000",132.50,-
14-JUL-2026,SGFIN,SG Finserve Limited,CLASSIC ENTERPRISES,SELL,"3,24,456",628.57,-
14-JUL-2026,SINTERCOM,Sintercom India Limited,BELLWETHER CAPITAL PRIVATE LIMITED,SELL,"2,30,000",77.00,-
14-JUL-2026,SUMEET-RE,Sumeet Industries Ltd,AJAY MITTAL,BUY,"19,50,000",2.50,-
14-JUL-2026,SUMEET-RE,Sumeet Industries Ltd,NEO APEX SHARE BROKING SERVICES LLP,BUY,"11,25,000",2.50,-
14-JUL-2026,SUMEET-RE,Sumeet Industries Ltd,PADMINI POLYTEX PRIVATE LIMITED,SELL,"1,57,50,000",2.50,-
14-JUL-2026,SUMEET-RE,Sumeet Industries Ltd,PRIJAL TRADEFIN LLP,BUY,"1,00,000",2.52,-
14-JUL-2026,SUMEET-RE,Sumeet Industries Ltd,PRIJAL TRADEFIN LLP,SELL,"9,40,000",2.61,-
14-JUL-2026,TBZ,Trib Bhimji Zaveri Ltd,HRTI PRIVATE LIMITED,BUY,"6,27,298",251.77,-
14-JUL-2026,TBZ,Trib Bhimji Zaveri Ltd,HRTI PRIVATE LIMITED,SELL,"6,52,242",250.90,-
14-JUL-2026,TBZ,Trib Bhimji Zaveri Ltd,JUNOMONETA FINSOL PRIVATE LIMITED,BUY,"8,69,864",253.30,-
14-JUL-2026,TBZ,Trib Bhimji Zaveri Ltd,JUNOMONETA FINSOL PRIVATE LIMITED,SELL,"8,77,361",253.33,-
14-JUL-2026,TBZ,Trib Bhimji Zaveri Ltd,MICROCURVES TRADING PRIVATE LIMITED,SELL,"5,59,879",253.42,-
14-JUL-2026,TBZ,Trib Bhimji Zaveri Ltd,MICROCURVES TRADING PRIVATE LIMITED,BUY,"5,59,879",253.54,-
14-JUL-2026,TBZ,Trib Bhimji Zaveri Ltd,NK SECURITIES RESEARCH PRIVATE LIMITED,SELL,"4,41,740",256.33,-
14-JUL-2026,TBZ,Trib Bhimji Zaveri Ltd,NK SECURITIES RESEARCH PRIVATE LIMITED,BUY,"4,41,740",256.18,-
14-JUL-2026,TBZ,Trib Bhimji Zaveri Ltd,QE SECURITIES LLP,SELL,"6,21,443",251.52,-
14-JUL-2026,TBZ,Trib Bhimji Zaveri Ltd,QE SECURITIES LLP,BUY,"6,36,739",252.95,-
14-JUL-2026,WANBURY,Wanbury Limited,GRT STRATEGIC VENTURES LLP,SELL,"1,75,309",338.66,-
14-JUL-2026,WANBURY,Wanbury Limited,GRT STRATEGIC VENTURES LLP,BUY,"1,75,309",338.33,-
14-JUL-2026,WANBURY,Wanbury Limited,JUNOMONETA FINSOL PRIVATE LIMITED,BUY,"3,24,712",337.78,-
14-JUL-2026,WANBURY,Wanbury Limited,JUNOMONETA FINSOL PRIVATE LIMITED,SELL,"3,29,561",338.14,-
14-JUL-2026,WANBURY,Wanbury Limited,NK SECURITIES RESEARCH PRIVATE LIMITED,BUY,"1,76,345",336.68,-
14-JUL-2026,WANBURY,Wanbury Limited,NK SECURITIES RESEARCH PRIVATE LIMITED,SELL,"1,76,345",336.91,-
14-JUL-2026,WANBURY,Wanbury Limited,SILVERLEAF CAPITAL SERVICES PRIVATE LIMITED,BUY,"1,75,081",338.88,-
14-JUL-2026,WANBURY,Wanbury Limited,SILVERLEAF CAPITAL SERVICES PRIVATE LIMITED,SELL,"1,75,081",338.92,-
14-JUL-2026,YATHARTH,Yatharth Hosp & Tra C S L,CLASSIC ENTERPRISES,SELL,"5,00,000",814.35,-
14-JUL-2026,YATHARTH,Yatharth Hosp & Tra C S L,HR GLOBAL MANUFACTURING PRIVATE LIMITED,BUY,"5,00,000",814.72,-
14-JUL-2026,ZENSARTECH,Zensar Technologies -Depo,HRTI PRIVATE LIMITED,BUY,"9,99,636",539.85,-
14-JUL-2026,ZENSARTECH,Zensar Technologies -Depo,HRTI PRIVATE LIMITED,SELL,"11,70,881",542.66,-
15-JUL-2026,ACCORD,Accord Synergy Limited,GREEN PEAKS ENTERPRISES LLP,BUY,"12,000",210.65,-
15-JUL-2026,ACCORD,Accord Synergy Limited,GREEN PEAKS ENTERPRISES LLP,SELL,"18,000",210.36,-
15-JUL-2026,AMBAAUTO,Amba Auto Sales and Ser L,ANISH RAMJI SHAH,SELL,"96,000",86.53,-
15-JUL-2026,ATALREAL,Atal Realtech Limited,ACHINTYA SECURITIES LIMITED,BUY,"7,00,000",29.49,-
15-JUL-2026,ATALREAL,Atal Realtech Limited,ACME CAPITAL MARKET LIMITED,BUY,"7,98,091",29.17,-
15-JUL-2026,ATALREAL,Atal Realtech Limited,ACME CAPITAL MARKET LIMITED,SELL,"7,98,091",29.34,-
15-JUL-2026,ATALREAL,Atal Realtech Limited,ALTIZEN VENTURES LLP,SELL,"7,74,605",29.46,-
15-JUL-2026,ATALREAL,Atal Realtech Limited,ALTIZEN VENTURES LLP,BUY,"10,25,313",29.40,-
15-JUL-2026,BALUFORGE,Balu Forge Industries Ltd,L7 SECURITIES PRIVATE LIMITED,SELL,"7,15,000",448.84,-
15-JUL-2026,BALUFORGE,Balu Forge Industries Ltd,SNORD TRADING PRIVATE LIMITED,BUY,"7,15,000",448.86,-
15-JUL-2026,BECTORFOOD,Mrs Bectors Food Spe Ltd,ABAKKUS  INVESTMENT MANAGERS PRIVATE LIMITED,BUY,"29,39,588",168.97,-
15-JUL-2026,COMSYN,Commercial Syn Bags Ltd,L7 SECURITIES PRIVATE LIMITED,SELL,"2,72,285",191.31,-
15-JUL-2026,COMSYN,Commercial Syn Bags Ltd,TRADEFLOW DYNAMICS PRIVATE LIMITED,BUY,"2,72,285",191.31,-
15-JUL-2026,ELIN,Elin Electronics Limited,GRT STRATEGIC VENTURES LLP,SELL,"2,60,101",113.85,-
15-JUL-2026,ELIN,Elin Electronics Limited,GRT STRATEGIC VENTURES LLP,BUY,"2,60,101",113.77,-
15-JUL-2026,ELIN,Elin Electronics Limited,NK SECURITIES RESEARCH PRIVATE LIMITED,SELL,"4,32,187",113.69,-
15-JUL-2026,ELIN,Elin Electronics Limited,NK SECURITIES RESEARCH PRIVATE LIMITED,BUY,"4,32,187",113.60,-
15-JUL-2026,ELIN,Elin Electronics Limited,SILVERLEAF CAPITAL SERVICES PRIVATE LIMITED,SELL,"3,61,167",114.11,-
15-JUL-2026,ELIN,Elin Electronics Limited,SILVERLEAF CAPITAL SERVICES PRIVATE LIMITED,BUY,"3,61,167",114.10,-
15-JUL-2026,FEDDERSHOL,Fedders Holding Ltd.,BULLPULSE MARKETEDGE PRIVATE LIMITED,SELL,"16,35,195",47.15,-
15-JUL-2026,FEDDERSHOL,Fedders Holding Ltd.,BULLPULSE MARKETEDGE PRIVATE LIMITED,BUY,"16,35,195",48.22,-
15-JUL-2026,FINOPB,Fino Payments Bank Ltd,DIPAN MEHTA COMMODITIES PRIVATE LIMITED,SELL,"4,21,511",176.10,-
15-JUL-2026,FINOPB,Fino Payments Bank Ltd,DIPAN MEHTA COMMODITIES PRIVATE LIMITED,BUY,"4,36,364",175.15,-
15-JUL-2026,FINOPB,Fino Payments Bank Ltd,ELIXIR WEALTH MANAGEMENT PRIVATE LIMITED,BUY,"4,49,662",177.30,-
15-JUL-2026,FINOPB,Fino Payments Bank Ltd,ELIXIR WEALTH MANAGEMENT PRIVATE LIMITED,SELL,"4,72,662",178.47,-
15-JUL-2026,FINOPB,Fino Payments Bank Ltd,HRTI PRIVATE LIMITED,SELL,"7,01,989",177.05,-
15-JUL-2026,FINOPB,Fino Payments Bank Ltd,HRTI PRIVATE LIMITED,BUY,"7,61,130",174.13,-
15-JUL-2026,FINOPB,Fino Payments Bank Ltd,JUNOMONETA FINSOL PRIVATE LIMITED,SELL,"10,40,106",175.74,-
15-JUL-2026,FINOPB,Fino Payments Bank Ltd,JUNOMONETA FINSOL PRIVATE LIMITED,BUY,"10,44,016",175.66,-
15-JUL-2026,FINOPB,Fino Payments Bank Ltd,QE SECURITIES LLP,SELL,"8,79,295",175.75,-
15-JUL-2026,FINOPB,Fino Payments Bank Ltd,QE SECURITIES LLP,BUY,"9,07,833",174.84,-
15-JUL-2026,GCSL,Gretex Corporate Services,MANSUKH SECURITIES & FINANCE LIMITED,SELL,"1,19,877",507.55,-
15-JUL-2026,GCSL,Gretex Corporate Services,MANSUKH SECURITIES & FINANCE LIMITED,BUY,"1,96,431",506.47,-
15-JUL-2026,GCSL,Gretex Corporate Services,MOHAMED IRFAN MOHAMED LATIF SHAIKH,SELL,"6,73,000",506.45,-
15-JUL-2026,GCSL,Gretex Corporate Services,TRADE PULSE BROKING PRIVATE LIMITED,BUY,"1,30,000",508.40,-
15-JUL-2026,ITDC,India Tour. Dev. Co. Ltd.,HRTI PRIVATE LIMITED,SELL,"5,39,994",766.81,-
15-JUL-2026,ITDC,India Tour. Dev. Co. Ltd.,HRTI PRIVATE LIMITED,BUY,"5,54,199",775.66,-
15-JUL-2026,ITDC,India Tour. Dev. Co. Ltd.,JUNOMONETA FINSOL PRIVATE LIMITED,SELL,"6,23,310",772.31,-
15-JUL-2026,ITDC,India Tour. Dev. Co. Ltd.,JUNOMONETA FINSOL PRIVATE LIMITED,BUY,"6,26,406",772.17,-
15-JUL-2026,ITDC,India Tour. Dev. Co. Ltd.,MICROCURVES TRADING PRIVATE LIMITED,BUY,"7,69,056",774.16,-
15-JUL-2026,ITDC,India Tour. Dev. Co. Ltd.,MICROCURVES TRADING PRIVATE LIMITED,SELL,"7,69,056",774.34,-
15-JUL-2026,ITDC,India Tour. Dev. Co. Ltd.,QE SECURITIES LLP,BUY,"5,28,856",770.57,-
15-JUL-2026,ITDC,India Tour. Dev. Co. Ltd.,QE SECURITIES LLP,SELL,"5,34,020",766.91,-
15-JUL-2026,JUSTDIAL,Justdial Ltd.,BLITZQUANT RESEARCH LLP,SELL,"5,35,642",819.02,-
15-JUL-2026,JUSTDIAL,Justdial Ltd.,BLITZQUANT RESEARCH LLP,BUY,"5,35,642",818.67,-
15-JUL-2026,JUSTDIAL,Justdial Ltd.,HRTI PRIVATE LIMITED,BUY,"4,24,830",812.33,-
15-JUL-2026,JUSTDIAL,Justdial Ltd.,HRTI PRIVATE LIMITED,SELL,"4,36,218",817.92,-
15-JUL-2026,JUSTDIAL,Justdial Ltd.,IRAGE BROKING SERVICES LLP,SELL,"5,21,729",819.20,-
15-JUL-2026,JUSTDIAL,Justdial Ltd.,IRAGE BROKING SERVICES LLP,BUY,"5,22,487",820.27,-
15-JUL-2026,JUSTDIAL,Justdial Ltd.,JUNOMONETA FINSOL PRIVATE LIMITED,SELL,"14,59,043",818.64,-
15-JUL-2026,JUSTDIAL,Justdial Ltd.,JUNOMONETA FINSOL PRIVATE LIMITED,BUY,"14,61,895",818.27,-
15-JUL-2026,JUSTDIAL,Justdial Ltd.,MICROCURVES TRADING PRIVATE LIMITED,SELL,"6,47,378",818.25,-
15-JUL-2026,JUSTDIAL,Justdial Ltd.,MICROCURVES TRADING PRIVATE LIMITED,BUY,"6,47,378",817.98,-
15-JUL-2026,JUSTDIAL,Justdial Ltd.,NK SECURITIES RESEARCH PRIVATE LIMITED,BUY,"4,40,896",819.01,-
15-JUL-2026,JUSTDIAL,Justdial Ltd.,NK SECURITIES RESEARCH PRIVATE LIMITED,SELL,"4,40,896",819.45,-
15-JUL-2026,JUSTDIAL,Justdial Ltd.,QE SECURITIES LLP,SELL,"7,98,737",819.35,-
15-JUL-2026,JUSTDIAL,Justdial Ltd.,QE SECURITIES LLP,BUY,"8,02,990",817.65,-
15-JUL-2026,KALYANKJIL,Kalyan Jewellers Ind Ltd,GRAVITON RESEARCH CAPITAL LLP,SELL,"74,93,504",537.17,-
15-JUL-2026,KALYANKJIL,Kalyan Jewellers Ind Ltd,GRAVITON RESEARCH CAPITAL LLP,BUY,"74,93,504",537.03,-
15-JUL-2026,KSOLVES,Ksolves India Limited,SILVERLEAF CAPITAL SERVICES PRIVATE LIMITED,BUY,"1,53,732",331.64,-
15-JUL-2026,KSOLVES,Ksolves India Limited,SILVERLEAF CAPITAL SERVICES PRIVATE LIMITED,SELL,"1,53,732",331.38,-
15-JUL-2026,KUSUMGAR,Kusumgar Limited,IRAGE BROKING SERVICES LLP,BUY,"5,14,275",595.88,-
15-JUL-2026,KUSUMGAR,Kusumgar Limited,IRAGE BROKING SERVICES LLP,SELL,"6,82,975",592.75,-
15-JUL-2026,KUSUMGAR,Kusumgar Limited,NK SECURITIES RESEARCH PRIVATE LIMITED,SELL,"8,01,853",599.43,-
15-JUL-2026,KUSUMGAR,Kusumgar Limited,NK SECURITIES RESEARCH PRIVATE LIMITED,BUY,"8,01,853",599.10,-
15-JUL-2026,KUSUMGAR,Kusumgar Limited,S I INVESTMENTS ## BROKING PVT.LTD,BUY,"5,33,229",579.14,-
15-JUL-2026,LANDMARK,Landmark Cars Limited,ALPHAGREP SECURITIES PRIVATE LIMITED,BUY,"3,63,245",549.39,-
15-JUL-2026,LANDMARK,Landmark Cars Limited,ALPHAGREP SECURITIES PRIVATE LIMITED,SELL,"3,63,245",549.71,-
15-JUL-2026,LANDMARK,Landmark Cars Limited,DIPAN MEHTA COMMODITIES PRIVATE LIMITED,SELL,"2,79,479",549.58,-
15-JUL-2026,LANDMARK,Landmark Cars Limited,DIPAN MEHTA COMMODITIES PRIVATE LIMITED,BUY,"2,81,263",549.79,-
15-JUL-2026,LANDMARK,Landmark Cars Limited,ELIXIR WEALTH MANAGEMENT PRIVATE LIMITED,SELL,"4,39,544",547.47,-
15-JUL-2026,LANDMARK,Landmark Cars Limited,ELIXIR WEALTH MANAGEMENT PRIVATE LIMITED,BUY,"4,45,544",545.96,-
15-JUL-2026,LANDMARK,Landmark Cars Limited,GRT STRATEGIC VENTURES LLP,SELL,"4,85,794",541.38,-
15-JUL-2026,LANDMARK,Landmark Cars Limited,GRT STRATEGIC VENTURES LLP,BUY,"4,85,794",541.16,-
15-JUL-2026,LANDMARK,Landmark Cars Limited,IRAGE BROKING SERVICES LLP,SELL,"6,73,965",545.46,-
15-JUL-2026,LANDMARK,Landmark Cars Limited,IRAGE BROKING SERVICES LLP,BUY,"8,45,470",546.86,-
15-JUL-2026,LANDMARK,Landmark Cars Limited,JUMP TRADING FINANCIAL INDIA PRIVATE LIMITED,SELL,"4,87,232",549.02,-
15-JUL-2026,LANDMARK,Landmark Cars Limited,JUMP TRADING FINANCIAL INDIA PRIVATE LIMITED,BUY,"4,87,232",546.87,-
15-JUL-2026,LANDMARK,Landmark Cars Limited,JUNOMONETA FINSOL PRIVATE LIMITED,SELL,"8,70,205",545.33,-
15-JUL-2026,LANDMARK,Landmark Cars Limited,JUNOMONETA FINSOL PRIVATE LIMITED,BUY,"8,80,590",545.19,-
15-JUL-2026,LANDMARK,Landmark Cars Limited,MICROCURVES TRADING PRIVATE LIMITED,BUY,"22,42,468",548.96,-
15-JUL-2026,LANDMARK,Landmark Cars Limited,MICROCURVES TRADING PRIVATE LIMITED,SELL,"22,42,468",549.19,-
15-JUL-2026,LANDMARK,Landmark Cars Limited,MUSIGMA SECURITIES,SELL,"4,05,181",546.34,-
15-JUL-2026,LANDMARK,Landmark Cars Limited,MUSIGMA SECURITIES,BUY,"4,05,181",546.36,-
15-JUL-2026,LANDMARK,Landmark Cars Limited,NK SECURITIES RESEARCH PRIVATE LIMITED,BUY,"8,24,576",552.24,-
15-JUL-2026,LANDMARK,Landmark Cars Limited,NK SECURITIES RESEARCH PRIVATE LIMITED,SELL,"8,25,460",552.48,-
15-JUL-2026,LANDMARK,Landmark Cars Limited,QE SECURITIES LLP,SELL,"6,67,517",551.02,-
15-JUL-2026,LANDMARK,Landmark Cars Limited,QE SECURITIES LLP,BUY,"6,80,267",549.96,-
15-JUL-2026,LANDMARK,Landmark Cars Limited,SILVERLEAF CAPITAL SERVICES PRIVATE LIMITED,SELL,"2,99,035",545.19,-
15-JUL-2026,LANDMARK,Landmark Cars Limited,SILVERLEAF CAPITAL SERVICES PRIVATE LIMITED,BUY,"2,99,035",544.71,-
15-JUL-2026,LANDMARK,Landmark Cars Limited,VINSUL MAKARDI LTD,SELL,"2,82,488",544.70,-
15-JUL-2026,LANDMARK,Landmark Cars Limited,VINSUL MAKARDI LTD,BUY,"2,82,488",544.12,-
15-JUL-2026,MOBIKWIK,One Mobikwik Systems Ltd,FLC INVESTCO LLC,SELL,"7,12,358",232.02,-
15-JUL-2026,NUVOCO,Nuvoco Vistas Corp Ltd,JUNOMONETA FINSOL PRIVATE LIMITED,BUY,"20,18,044",381.93,-
15-JUL-2026,NUVOCO,Nuvoco Vistas Corp Ltd,JUNOMONETA FINSOL PRIVATE LIMITED,SELL,"20,18,893",382.14,-
15-JUL-2026,NUVOCO,Nuvoco Vistas Corp Ltd,MICROCURVES TRADING PRIVATE LIMITED,SELL,"31,12,562",384.39,-
15-JUL-2026,NUVOCO,Nuvoco Vistas Corp Ltd,MICROCURVES TRADING PRIVATE LIMITED,BUY,"31,12,562",384.13,-
15-JUL-2026,NUVOCO,Nuvoco Vistas Corp Ltd,QE SECURITIES LLP,SELL,"21,76,076",381.39,-
15-JUL-2026,NUVOCO,Nuvoco Vistas Corp Ltd,QE SECURITIES LLP,BUY,"21,85,826",382.17,-
15-JUL-2026,ORIENTTECH,Orient Technologies Ltd,JUNOMONETA FINSOL PRIVATE LIMITED,SELL,"2,81,693",292.28,-
15-JUL-2026,ORIENTTECH,Orient Technologies Ltd,JUNOMONETA FINSOL PRIVATE LIMITED,BUY,"2,81,850",292.03,-
15-JUL-2026,ORIENTTECH,Orient Technologies Ltd,QE SECURITIES LLP,BUY,"3,28,461",292.02,-
15-JUL-2026,ORIENTTECH,Orient Technologies Ltd,QE SECURITIES LLP,SELL,"3,30,790",294.04,-
15-JUL-2026,PATANJALI,Patanjali Foods Limited,GRAVITON RESEARCH CAPITAL LLP,SELL,"93,42,189",351.70,-
15-JUL-2026,PATANJALI,Patanjali Foods Limited,GRAVITON RESEARCH CAPITAL LLP,BUY,"93,42,189",351.51,-
15-JUL-2026,PCJEWELLER,PC Jeweller Ltd,HRTI PRIVATE LIMITED,SELL,"4,19,23,196",10.49,-
15-JUL-2026,PCJEWELLER,PC Jeweller Ltd,HRTI PRIVATE LIMITED,BUY,"6,52,37,130",10.51,-
15-JUL-2026,PNC,Pritish Nandy Comm. Ltd.,ORION STOCKS LTD,BUY,"42,754",19.82,-
15-JUL-2026,PNC,Pritish Nandy Comm. Ltd.,ORION STOCKS LTD,SELL,"83,826",20.10,-
15-JUL-2026,PPSL,Picturepost Studios Ltd,SHAILENDRA ISHWARDAS CHANDGOTIA,SELL,"3,72,000",2.46,-
15-JUL-2026,SAJHOTELS,Saj Hotels Limited,VIPUL MAHASUKHLAL GOPANI,BUY,"1,50,000",37.87,-
15-JUL-2026,SHIVAUM,Shiv Aum Steels Limited,DILIP RAMANLAL DOSHI HUF,BUY,"70,000",410.00,-
15-JUL-2026,SHIVAUM,Shiv Aum Steels Limited,IMC INDIA SECURITIES PRIVATE LIMITED,SELL,"3,594",411.97,-
15-JUL-2026,SHIVAUM,Shiv Aum Steels Limited,IMC INDIA SECURITIES PRIVATE LIMITED,BUY,"71,161",410.00,-
15-JUL-2026,SHIVAUM,Shiv Aum Steels Limited,METASONI ALLOYS PVT LTD,BUY,"75,000",410.00,-
15-JUL-2026,SHIVAUM,Shiv Aum Steels Limited,NOPEA CAPITAL SERVICES PRIVATE LIMITED,SELL,"3,92,000",410.00,-
15-JUL-2026,SINTERCOM,Sintercom India Limited,BELLWETHER CAPITAL PRIVATE LIMITED,SELL,"2,00,000",77.32,-
15-JUL-2026,SSWL,Steel Strips Wheels Limit,MICROCURVES TRADING PRIVATE LIMITED,SELL,"8,53,622",269.11,-
15-JUL-2026,SSWL,Steel Strips Wheels Limit,MICROCURVES TRADING PRIVATE LIMITED,BUY,"8,53,622",268.72,-
15-JUL-2026,SUMEET-RE,Sumeet Industries Ltd,ARHAM SHARE PRIVATE LIMITED,BUY,"10,10,389",2.57,-
15-JUL-2026,SUMEET-RE,Sumeet Industries Ltd,BIRLA ANKITA,BUY,"12,33,000",2.27,-
15-JUL-2026,SUMEET-RE,Sumeet Industries Ltd,BIRLA KAPIL,BUY,"28,19,000",2.27,-
15-JUL-2026,SUMEET-RE,Sumeet Industries Ltd,EAGLE FIBRES LIMITED,SELL,"51,00,000",2.37,-
15-JUL-2026,SUMEET-RE,Sumeet Industries Ltd,F3 ADVISORS PRIVATE LIMITED,BUY,"16,10,000",2.44,-
15-JUL-2026,SUMEET-RE,Sumeet Industries Ltd,JPB FIBERS,SELL,"99,00,000",2.43,-
15-JUL-2026,SUMEET-RE,Sumeet Industries Ltd,KIFS  ENTERPRISE,BUY,"14,00,000",2.50,-
15-JUL-2026,SUMEET-RE,Sumeet Industries Ltd,NEELAM SUSHIL SOMANI,BUY,"25,00,000",2.27,-
15-JUL-2026,SUMEET-RE,Sumeet Industries Ltd,NEO APEX SHARE BROKING SERVICES LLP,BUY,"36,93,650",2.40,-
15-JUL-2026,SUMEET-RE,Sumeet Industries Ltd,PADMINI POLYTEX PRIVATE LIMITED,SELL,"3,01,92,342",2.35,-
15-JUL-2026,SUMEET-RE,Sumeet Industries Ltd,PARTH INFIN BROKERS PVT LTD,BUY,"15,75,000",2.41,-
15-JUL-2026,SUMEET-RE,Sumeet Industries Ltd,POLYWAVE TEXYARN PRIVATE LIMITED,BUY,"20,00,000",2.27,-
15-JUL-2026,SUMEET-RE,Sumeet Industries Ltd,SHAKTIVEER TEXFAB PRIVATE LIMITED,BUY,"49,00,000",2.33,-
15-JUL-2026,SUMEET-RE,Sumeet Industries Ltd,SOMANI OVERSEAS PRIVATE LIMITED,BUY,"25,00,000",2.27,-
15-JUL-2026,SUMEET-RE,Sumeet Industries Ltd,SUPREME POLYWEAVE PVT LTD,BUY,"20,00,000",2.39,-
15-JUL-2026,SUMEET-RE,Sumeet Industries Ltd,VIDEEP KABRA BENEFICIARY TRUST,BUY,"10,33,000",2.31,-
15-JUL-2026,SUMEET-RE,Sumeet Industries Ltd,VISHAL RAMESHCHANDRA SHAH,BUY,"20,00,000",2.42,-
15-JUL-2026,SVLL,Shree Vasu Logistics Ltd,B D PLYWOODS PRIVATE LIMITED,SELL,"64,500",663.37,-
15-JUL-2026,TBZ,Trib Bhimji Zaveri Ltd,HRTI PRIVATE LIMITED,BUY,"4,43,298",263.84,-
15-JUL-2026,TBZ,Trib Bhimji Zaveri Ltd,HRTI PRIVATE LIMITED,SELL,"4,65,364",265.80,-
15-JUL-2026,TBZ,Trib Bhimji Zaveri Ltd,JUNOMONETA FINSOL PRIVATE LIMITED,BUY,"5,43,565",265.36,-
