Date,Symbol,SecurityName,ClientName,Buy/Sell,QuantityTraded,TradePrice/Wght.Avg.Price,Remarks
25-JUN-2026,BANSALWIRE,Bansal Wire Industries L,HDFC MUTUAL FUND,BUY,"8,09,063",309.00,-
25-JUN-2026,BANSALWIRE,Bansal Wire Industries L,INVESCO MUTUAL FUND,BUY,"20,93,917",309.00,-
25-JUN-2026,BANSALWIRE,Bansal Wire Industries L,MALABAR INDIA FUND LIMITED,BUY,"8,09,062",309.00,-
25-JUN-2026,BANSALWIRE,Bansal Wire Industries L,MRINAAL MITTAL,SELL,"46,82,916",309.00,-
25-JUN-2026,EASEMYTRIP,Easy Trip Planners Ltd,PARNIT VENTURES PRIVATE LIMITED,SELL,"1,88,38,069",7.52,-
25-JUN-2026,EASEMYTRIP,Easy Trip Planners Ltd,PARNIT VENTURES PRIVATE LIMITED,BUY,"1,88,38,070",7.38,-
25-JUN-2026,EMCURE,Emcure Pharmaceuticals L,BC INVESTMENTS IV LIMITED,SELL,"9,69,729","1,817.00",-
25-JUN-2026,EMCURE,Emcure Pharmaceuticals L,BC INVESTMENTS IV LIMITED,SELL,"9,69,730","1,817.00",-
25-JUN-2026,EMSLIMITED,EMS Limited,HRTI PRIVATE LIMITED,BUY,"2,85,714",422.60,-
25-JUN-2026,EMSLIMITED,EMS Limited,HRTI PRIVATE LIMITED,SELL,"3,17,403",422.71,-
25-JUN-2026,GCSL,Gretex Corporate Services,MANSUKH SECURITIES & FINANCE LIMITED,SELL,"1,29,811",412.03,-
25-JUN-2026,GCSL,Gretex Corporate Services,MANSUKH SECURITIES & FINANCE LIMITED,BUY,"1,89,227",413.12,-
25-JUN-2026,HONASA,Honasa Consumer Limited,SOFINA VENTURES S.A.,SELL,"41,78,384",424.07,-
25-JUN-2026,KAYNES,Kaynes Technology Ind Ltd,GRAVITON RESEARCH CAPITAL LLP,BUY,"4,34,054","3,304.30",-
25-JUN-2026,KAYNES,Kaynes Technology Ind Ltd,GRAVITON RESEARCH CAPITAL LLP,SELL,"4,34,054","3,304.55",-
25-JUN-2026,LEMERITE,Le Merite Exports Limited,SAHASTRAA ADVISORS PRIVATE LIMITED,SELL,"8,05,590",24.15,-
25-JUN-2026,LEMERITE,Le Merite Exports Limited,SAHASTRAA ADVISORS PRIVATE LIMITED,BUY,"8,05,590",24.20,-
25-JUN-2026,LODHA,Lodha Developers Limited,FMRC FIDELITY ADVISOR INTERNATIONAL CAPITAL APPRECIATION FUND,BUY,"1,32,64,600",937.85,-
25-JUN-2026,LODHA,Lodha Developers Limited,HIGHTOWN CONSTRUCTIONS PRIVATE LIMITED,SELL,"1,74,24,032",937.85,-
25-JUN-2026,MADHUSUDAN,Madhusudan Masala Limited,VSPARTANS CONSULTANTS PRIVATE LIMITED,BUY,"99,000",209.17,-
25-JUN-2026,MANCREDIT,Mangal Credit N Fincorp L,BULLPULSE MARKETEDGE PRIVATE LIMITED,SELL,"81,754",231.66,-
25-JUN-2026,MANCREDIT,Mangal Credit N Fincorp L,BULLPULSE MARKETEDGE PRIVATE LIMITED,BUY,"1,08,688",225.95,-
25-JUN-2026,MARKOLINES,Markolines Pavement Tec L,HI KLASS TRADING & INVESTMENT LIMITED,SELL,"62,685",177.06,-
25-JUN-2026,MARKOLINES,Markolines Pavement Tec L,HI KLASS TRADING & INVESTMENT LIMITED,BUY,"1,47,559",174.88,-
25-JUN-2026,MARKOLINES,Markolines Pavement Tec L,VISTAAR TRADING SERVICE PRIVATE LIMITED,SELL,"1,47,712",175.16,-
25-JUN-2026,MARKOLINES,Markolines Pavement Tec L,VISTAAR TRADING SERVICE PRIVATE LIMITED,BUY,"1,47,712",175.26,-
25-JUN-2026,MHLXMIRU,Mahalaxmi Rubtech Limited,NEO APEX VENTURE LLP,BUY,198,122.80,-
25-JUN-2026,MHLXMIRU,Mahalaxmi Rubtech Limited,NEO APEX VENTURE LLP,SELL,"90,304",115.81,-
25-JUN-2026,MOTISONS,Motisons Jewellers Ltd,ARIHANT CAPITAL MARKETS LIMITED,SELL,"1,52,25,969",14.20,-
25-JUN-2026,MOTISONS,Motisons Jewellers Ltd,ARIHANT CAPITAL MARKETS LIMITED,BUY,"1,72,83,318",14.20,-
25-JUN-2026,MOTISONS,Motisons Jewellers Ltd,HRTI PRIVATE LIMITED,SELL,"56,89,285",14.21,-
25-JUN-2026,MOTISONS,Motisons Jewellers Ltd,HRTI PRIVATE LIMITED,BUY,"58,44,913",14.29,-
25-JUN-2026,NARMADA,Narmada Agrobase Limited,CHANAKYA OPPORTUNITIES FUND I,SELL,"3,64,807",41.88,-
25-JUN-2026,NARMADA,Narmada Agrobase Limited,SACHIN GOVINDLAL MODI,SELL,"1,98,384",42.32,-
25-JUN-2026,NARMADA,Narmada Agrobase Limited,SACHIN GOVINDLAL MODI,BUY,"2,98,342",42.23,-
25-JUN-2026,NARMADA,Narmada Agrobase Limited,VISTA AXIS VCC-QUANT FUND,SELL,"2,05,000",42.05,-
25-JUN-2026,NRVANDANA,N R Vandana Tex Ind Ltd,BULLPULSE MARKETEDGE PRIVATE LIMITED,BUY,"1,44,000",69.21,-
25-JUN-2026,NRVANDANA,N R Vandana Tex Ind Ltd,PENTATEAM INVENTURE CAPITAL SCHEME I,SELL,"1,32,000",68.66,-
25-JUN-2026,ONWARDTEC,Onward Technologies Ltd,IRAGE BROKING SERVICES LLP,BUY,"1,39,218",299.87,-
25-JUN-2026,ONWARDTEC,Onward Technologies Ltd,IRAGE BROKING SERVICES LLP,SELL,"1,44,141",299.06,-
25-JUN-2026,ONWARDTEC,Onward Technologies Ltd,JUNOMONETA FINSOL PRIVATE LIMITED,BUY,"2,52,046",296.48,-
25-JUN-2026,ONWARDTEC,Onward Technologies Ltd,JUNOMONETA FINSOL PRIVATE LIMITED,SELL,"2,52,055",296.84,-
25-JUN-2026,ONWARDTEC,Onward Technologies Ltd,MICROCURVES TRADING PRIVATE LIMITED,BUY,"4,23,434",300.04,-
25-JUN-2026,ONWARDTEC,Onward Technologies Ltd,MICROCURVES TRADING PRIVATE LIMITED,SELL,"4,23,434",300.49,-
25-JUN-2026,ONWARDTEC,Onward Technologies Ltd,NK SECURITIES RESEARCH PRIVATE LIMITED,SELL,"5,96,022",296.91,-
25-JUN-2026,ONWARDTEC,Onward Technologies Ltd,NK SECURITIES RESEARCH PRIVATE LIMITED,BUY,"5,96,022",296.69,-
25-JUN-2026,ONWARDTEC,Onward Technologies Ltd,QE SECURITIES LLP,BUY,"2,31,561",294.03,-
25-JUN-2026,ONWARDTEC,Onward Technologies Ltd,QE SECURITIES LLP,SELL,"2,33,026",301.65,-
25-JUN-2026,ONWARDTEC,Onward Technologies Ltd,SILVERLEAF CAPITAL SERVICES PRIVATE LIMITED,BUY,"2,72,643",300.05,-
25-JUN-2026,ONWARDTEC,Onward Technologies Ltd,SILVERLEAF CAPITAL SERVICES PRIVATE LIMITED,SELL,"2,72,643",300.20,-
25-JUN-2026,ONWARDTEC,Onward Technologies Ltd,TWO ROADS TRADING PRIVATE LIMITED,BUY,"3,89,944",297.96,-
25-JUN-2026,ONWARDTEC,Onward Technologies Ltd,TWO ROADS TRADING PRIVATE LIMITED,SELL,"3,89,944",298.13,-
25-JUN-2026,ONWARDTEC,Onward Technologies Ltd,VINSUL MAKARDI LTD,SELL,"1,74,657",298.19,-
25-JUN-2026,ONWARDTEC,Onward Technologies Ltd,VINSUL MAKARDI LTD,BUY,"1,74,657",297.95,-
25-JUN-2026,PIXTRANS,Pix Transmissions Limited,MICROCURVES TRADING PRIVATE LIMITED,SELL,"1,11,839","1,820.21",-
25-JUN-2026,PIXTRANS,Pix Transmissions Limited,MICROCURVES TRADING PRIVATE LIMITED,BUY,"1,11,839","1,818.01",-
25-JUN-2026,PIXTRANS,Pix Transmissions Limited,NK SECURITIES RESEARCH PRIVATE LIMITED,BUY,"1,94,722","1,807.25",-
25-JUN-2026,PIXTRANS,Pix Transmissions Limited,NK SECURITIES RESEARCH PRIVATE LIMITED,SELL,"1,94,722","1,808.57",-
25-JUN-2026,PIXTRANS,Pix Transmissions Limited,QE SECURITIES LLP,SELL,"72,327","1,801.66",-
25-JUN-2026,PIXTRANS,Pix Transmissions Limited,QE SECURITIES LLP,BUY,"72,352","1,808.04",-
25-JUN-2026,RAMCOIND,Ramco Industries Ltd,IRAGE BROKING SERVICES LLP,SELL,"5,44,115",343.92,-
25-JUN-2026,RAMCOIND,Ramco Industries Ltd,IRAGE BROKING SERVICES LLP,BUY,"6,16,566",344.18,-
25-JUN-2026,RAMCOIND,Ramco Industries Ltd,JUNOMONETA FINSOL PRIVATE LIMITED,SELL,"7,24,282",344.38,-
25-JUN-2026,RAMCOIND,Ramco Industries Ltd,JUNOMONETA FINSOL PRIVATE LIMITED,BUY,"7,32,747",344.32,-
25-JUN-2026,RAMCOIND,Ramco Industries Ltd,MICROCURVES TRADING PRIVATE LIMITED,BUY,"9,67,393",344.59,-
25-JUN-2026,RAMCOIND,Ramco Industries Ltd,MICROCURVES TRADING PRIVATE LIMITED,SELL,"9,67,393",344.80,-
25-JUN-2026,RAMCOIND,Ramco Industries Ltd,NK SECURITIES RESEARCH PRIVATE LIMITED,SELL,"8,55,346",341.27,-
25-JUN-2026,RAMCOIND,Ramco Industries Ltd,NK SECURITIES RESEARCH PRIVATE LIMITED,BUY,"8,55,346",341.10,-
25-JUN-2026,RAMCOIND,Ramco Industries Ltd,QE SECURITIES LLP,BUY,"9,26,686",344.86,-
25-JUN-2026,RAMCOIND,Ramco Industries Ltd,QE SECURITIES LLP,SELL,"9,33,778",341.14,-
25-JUN-2026,RAMCOSYS,Ramco Systems Limited,DIPAN MEHTA COMMODITIES PRIVATE LIMITED,BUY,"1,85,597",710.44,-
25-JUN-2026,RAMCOSYS,Ramco Systems Limited,DIPAN MEHTA COMMODITIES PRIVATE LIMITED,SELL,"1,92,297",711.37,-
25-JUN-2026,RAMCOSYS,Ramco Systems Limited,ELIXIR WEALTH MANAGEMENT PRIVATE LIMITED,SELL,"2,65,783",711.76,-
25-JUN-2026,RAMCOSYS,Ramco Systems Limited,ELIXIR WEALTH MANAGEMENT PRIVATE LIMITED,BUY,"2,68,586",712.02,-
25-JUN-2026,RAMCOSYS,Ramco Systems Limited,GRT STRATEGIC VENTURES LLP,BUY,"2,16,343",708.27,-
25-JUN-2026,RAMCOSYS,Ramco Systems Limited,GRT STRATEGIC VENTURES LLP,SELL,"2,16,343",708.62,-
25-JUN-2026,RAMCOSYS,Ramco Systems Limited,HRTI PRIVATE LIMITED,BUY,"4,12,981",706.82,-
25-JUN-2026,RAMCOSYS,Ramco Systems Limited,HRTI PRIVATE LIMITED,SELL,"4,32,078",705.50,-
25-JUN-2026,RAMCOSYS,Ramco Systems Limited,IRAGE BROKING SERVICES LLP,BUY,"3,24,275",709.71,-
25-JUN-2026,RAMCOSYS,Ramco Systems Limited,IRAGE BROKING SERVICES LLP,SELL,"3,45,010",706.38,-
25-JUN-2026,RAMCOSYS,Ramco Systems Limited,JUMP TRADING FINANCIAL INDIA PRIVATE LIMITED,BUY,"2,16,493",705.26,-
25-JUN-2026,RAMCOSYS,Ramco Systems Limited,JUMP TRADING FINANCIAL INDIA PRIVATE LIMITED,SELL,"2,16,493",706.79,-
25-JUN-2026,RAMCOSYS,Ramco Systems Limited,JUNOMONETA FINSOL PRIVATE LIMITED,SELL,"6,96,640",708.22,-
25-JUN-2026,RAMCOSYS,Ramco Systems Limited,JUNOMONETA FINSOL PRIVATE LIMITED,BUY,"6,97,235",707.85,-
25-JUN-2026,RAMCOSYS,Ramco Systems Limited,MARWADI CHANDARANA INTERMEDIARIES BROKERS PRIVATE LIMITED,BUY,"2,46,398",705.50,-
25-JUN-2026,RAMCOSYS,Ramco Systems Limited,MARWADI CHANDARANA INTERMEDIARIES BROKERS PRIVATE LIMITED,SELL,"2,56,398",706.71,-
25-JUN-2026,RAMCOSYS,Ramco Systems Limited,MICROCURVES TRADING PRIVATE LIMITED,SELL,"10,75,438",710.56,-
25-JUN-2026,RAMCOSYS,Ramco Systems Limited,MICROCURVES TRADING PRIVATE LIMITED,BUY,"10,75,438",710.09,-
25-JUN-2026,RAMCOSYS,Ramco Systems Limited,MUSIGMA SECURITIES,SELL,"3,28,039",706.46,-
25-JUN-2026,RAMCOSYS,Ramco Systems Limited,MUSIGMA SECURITIES,BUY,"3,28,039",707.25,-
25-JUN-2026,RAMCOSYS,Ramco Systems Limited,NK SECURITIES RESEARCH PRIVATE LIMITED,BUY,"5,02,146",709.88,-
25-JUN-2026,RAMCOSYS,Ramco Systems Limited,NK SECURITIES RESEARCH PRIVATE LIMITED,SELL,"5,02,535",710.26,-
25-JUN-2026,RAMCOSYS,Ramco Systems Limited,QE SECURITIES LLP,BUY,"4,19,998",708.55,-
25-JUN-2026,RAMCOSYS,Ramco Systems Limited,QE SECURITIES LLP,SELL,"4,21,779",706.07,-
25-JUN-2026,RAMCOSYS,Ramco Systems Limited,SILVERLEAF CAPITAL SERVICES PRIVATE LIMITED,SELL,"1,97,736",707.22,-
25-JUN-2026,RAMCOSYS,Ramco Systems Limited,SILVERLEAF CAPITAL SERVICES PRIVATE LIMITED,BUY,"1,97,736",706.72,-
25-JUN-2026,RATNAVEER,Ratnaveer Precision Eng L,ARIHANT CAPITAL MARKETS LIMITED,BUY,"13,35,019",188.69,-
25-JUN-2026,RATNAVEER,Ratnaveer Precision Eng L,ARIHANT CAPITAL MARKETS LIMITED,SELL,"13,35,019",188.56,-
25-JUN-2026,RATNAVEER,Ratnaveer Precision Eng L,HRTI PRIVATE LIMITED,BUY,"4,39,752",185.26,-
25-JUN-2026,RATNAVEER,Ratnaveer Precision Eng L,HRTI PRIVATE LIMITED,SELL,"4,59,969",187.11,-
25-JUN-2026,RATNAVEER,Ratnaveer Precision Eng L,MATHISYS QUANTCAP LLP,BUY,"3,44,164",188.22,-
25-JUN-2026,RATNAVEER,Ratnaveer Precision Eng L,MATHISYS QUANTCAP LLP,SELL,"3,46,474",187.28,-
25-JUN-2026,RATNAVEER,Ratnaveer Precision Eng L,QE SECURITIES LLP,BUY,"3,00,337",187.80,-
25-JUN-2026,RATNAVEER,Ratnaveer Precision Eng L,QE SECURITIES LLP,SELL,"3,57,259",186.40,-
25-JUN-2026,RBA,Restaurant Brand Asia Ltd,HRTI PRIVATE LIMITED,BUY,"10,42,812",80.03,-
25-JUN-2026,RBA,Restaurant Brand Asia Ltd,HRTI PRIVATE LIMITED,SELL,"29,37,347",80.22,-
25-JUN-2026,RBA,Restaurant Brand Asia Ltd,MONET SECURITIES PRIVATE LTD,BUY,"40,00,000",80.15,-
25-JUN-2026,RBA,Restaurant Brand Asia Ltd,UNITY ASSOCIATES,SELL,"30,00,000",80.17,-
25-JUN-2026,RELAXO,Relaxo Foot Ltd.,MICROCURVES TRADING PRIVATE LIMITED,BUY,"12,97,812",412.95,-
25-JUN-2026,RELAXO,Relaxo Foot Ltd.,MICROCURVES TRADING PRIVATE LIMITED,SELL,"12,97,812",413.08,-
25-JUN-2026,ROTO,Roto Pumps Limited,HRTI PRIVATE LIMITED,SELL,"14,96,224",76.28,-
25-JUN-2026,ROTO,Roto Pumps Limited,HRTI PRIVATE LIMITED,BUY,"17,68,848",75.99,-
25-JUN-2026,ROTO,Roto Pumps Limited,JUNOMONETA FINSOL PRIVATE LIMITED,SELL,"26,86,404",76.11,-
25-JUN-2026,ROTO,Roto Pumps Limited,JUNOMONETA FINSOL PRIVATE LIMITED,BUY,"27,04,525",76.08,-
25-JUN-2026,ROTO,Roto Pumps Limited,MICROCURVES TRADING PRIVATE LIMITED,BUY,"9,76,160",76.18,-
25-JUN-2026,ROTO,Roto Pumps Limited,MICROCURVES TRADING PRIVATE LIMITED,SELL,"9,76,160",76.23,-
25-JUN-2026,ROTO,Roto Pumps Limited,QE SECURITIES LLP,SELL,"16,86,126",75.60,-
25-JUN-2026,ROTO,Roto Pumps Limited,QE SECURITIES LLP,BUY,"16,95,042",76.20,-
25-JUN-2026,SAKSOFT,Saksoft Limited,BLITZQUANT RESEARCH LLP,SELL,"10,95,911",158.80,-
25-JUN-2026,SAKSOFT,Saksoft Limited,BLITZQUANT RESEARCH LLP,BUY,"10,95,911",158.71,-
25-JUN-2026,SAKSOFT,Saksoft Limited,JUNOMONETA FINSOL PRIVATE LIMITED,SELL,"7,07,637",159.00,-
25-JUN-2026,SAKSOFT,Saksoft Limited,JUNOMONETA FINSOL PRIVATE LIMITED,BUY,"7,08,890",158.86,-
25-JUN-2026,SAKSOFT,Saksoft Limited,MICROCURVES TRADING PRIVATE LIMITED,BUY,"13,73,325",159.95,-
25-JUN-2026,SAKSOFT,Saksoft Limited,MICROCURVES TRADING PRIVATE LIMITED,SELL,"13,73,325",160.12,-
25-JUN-2026,SAKSOFT,Saksoft Limited,NK SECURITIES RESEARCH PRIVATE LIMITED,BUY,"14,25,628",159.71,-
25-JUN-2026,SAKSOFT,Saksoft Limited,NK SECURITIES RESEARCH PRIVATE LIMITED,SELL,"14,25,628",159.82,-
25-JUN-2026,SAKSOFT,Saksoft Limited,QE SECURITIES LLP,BUY,"7,56,180",158.73,-
25-JUN-2026,SAKSOFT,Saksoft Limited,QE SECURITIES LLP,SELL,"7,64,727",156.83,-
25-JUN-2026,SAKSOFT,Saksoft Limited,SILVERLEAF CAPITAL SERVICES PRIVATE LIMITED,BUY,"7,56,403",157.66,-
25-JUN-2026,SAKSOFT,Saksoft Limited,SILVERLEAF CAPITAL SERVICES PRIVATE LIMITED,SELL,"7,56,403",157.69,-
25-JUN-2026,SHAH,Shah Metacorp Limited,DHANJIT REAL TRADE LLP,SELL,"60,26,263",4.41,-
25-JUN-2026,SHAH,Shah Metacorp Limited,DHANJIT REAL TRADE LLP,BUY,"74,89,226",4.38,-
25-JUN-2026,SHANTIGOLD,Shanti Gold Internation L,ARIHANT CAPITAL MARKETS LIMITED,SELL,"19,58,684",227.91,-
25-JUN-2026,SHANTIGOLD,Shanti Gold Internation L,ARIHANT CAPITAL MARKETS LIMITED,BUY,"20,25,241",227.39,-
25-JUN-2026,SHANTIGOLD,Shanti Gold Internation L,HRTI PRIVATE LIMITED,BUY,"3,60,798",226.84,-
25-JUN-2026,SHANTIGOLD,Shanti Gold Internation L,HRTI PRIVATE LIMITED,SELL,"3,73,141",227.31,-
25-JUN-2026,SOMICONVEY,Somi Conveyor Belt. Ltd.,AMIT KUMAR JAIN,SELL,"1,03,420",116.46,-
25-JUN-2026,SOMICONVEY,Somi Conveyor Belt. Ltd.,AMIT KUMAR JAIN,BUY,"1,03,420",116.79,-
25-JUN-2026,SOMICONVEY,Somi Conveyor Belt. Ltd.,INDRA KIRAN VENTURES,BUY,"69,164",117.22,-
25-JUN-2026,SOMICONVEY,Somi Conveyor Belt. Ltd.,INDRA KIRAN VENTURES,SELL,"69,164",117.00,-
25-JUN-2026,SOMICONVEY,Somi Conveyor Belt. Ltd.,PRIYA MILAN SADARIYA,BUY,"21,080",114.48,-
25-JUN-2026,SOMICONVEY,Somi Conveyor Belt. Ltd.,PRIYA MILAN SADARIYA,SELL,"74,341",116.91,-
25-JUN-2026,URAVIDEF,URAVI DEFENCE & TECH LTD,VINEY CORPORATION  LIMITED,SELL,"1,53,051",114.00,-
